
 4326 atoms
 6 atom types

 0.0000000000 89.1467868877 xlo xhi
 0.0000000000 77.2033821032 ylo yhi
 0.0000000000 100.0000000000 zlo zhi
 44.5733934564 0.0000000000  0.0000000000 xy xz yz

 Masses 
 
1 95.9400000000 
2 78.9600000000 
3 78.9600000000 
4 183.8400000000 
5 78.9600000000 
6 78.9600000000 

 Atoms 
 
1 2 42.6569249293 77.2390783299 4.3444081108
2 3 42.6569249293 77.2390783299 7.4346395194
3 2 45.5625415504 78.8452513989 4.3444081108
4 3 45.5625415504 78.8452513989 7.4346395194
5 2 39.6894866736 72.3134809116 4.3444081108
6 3 39.6894866736 72.3134809116 7.4346395194
7 2 42.5951032947 73.9196539806 4.3444081108
8 3 42.5951032947 73.9196539806 7.4346395194
9 1 41.6677788500 75.5972125238 5.8895238134
10 2 45.5007199158 75.5258270496 4.3444081108
11 3 45.5007199158 75.5258270496 7.4346395194
12 1 44.5733954711 77.2033855928 5.8895238134
13 2 48.4063365458 77.1320001186 4.3444081108
14 3 48.4063365458 77.1320001186 7.4346395194
15 1 47.4790120922 78.8095586618 5.8895238134
16 2 51.3119531714 78.7381731954 4.3444081108
17 3 51.3119531714 78.7381731954 7.4346395194
18 2 36.7220484178 67.3878834933 4.3444081108
19 3 36.7220484178 67.3878834933 7.4346395194
20 2 39.6276650389 68.9940565623 4.3444081108
21 3 39.6276650389 68.9940565623 7.4346395194
22 1 38.7003405943 70.6716151055 5.8895238134
23 2 42.5332816600 70.6002296313 4.3444081108
24 3 42.5332816600 70.6002296313 7.4346395194
25 1 41.6059572154 72.2777881745 5.8895238134
26 2 45.4388982945 72.2064027081 4.3444081108
27 3 45.4388982945 72.2064027081 7.4346395194
28 1 44.5115738365 73.8839612435 5.8895238134
29 2 48.3445149156 73.8125757771 4.3444081108
30 3 48.3445149156 73.8125757771 7.4346395194
31 1 47.4171904665 75.4901343125 5.8895238134
32 2 51.2501315367 75.4187488461 4.3444081108
33 3 51.2501315367 75.4187488461 7.4346395194
34 1 50.3228070920 77.0963073893 5.8895238134
35 2 54.1557481667 77.0249219151 4.3444081108
36 3 54.1557481667 77.0249219151 7.4346395194
37 1 53.2284237131 78.7024804583 5.8895238134
38 2 57.0613647878 78.6310949841 4.3444081108
39 3 57.0613647878 78.6310949841 7.4346395194
40 2 33.7546101531 62.4622860750 4.3444081108
41 3 33.7546101531 62.4622860750 7.4346395194
42 2 36.6602267876 64.0684591518 4.3444081108
43 3 36.6602267876 64.0684591518 7.4346395194
44 1 35.7329023296 65.7460176872 5.8895238134
45 2 39.5658434087 65.6746322208 4.3444081108
46 3 39.5658434087 65.6746322208 7.4346395194
47 1 38.6385189596 67.3521907562 5.8895238134
48 2 42.4714600387 67.2808052898 4.3444081108
49 3 42.4714600387 67.2808052898 7.4346395194
50 1 41.5441355852 68.9583638330 5.8895238134
51 2 45.3770766598 68.8869783588 4.3444081108
52 3 45.3770766598 68.8869783588 7.4346395194
53 1 44.4497522063 70.5645369020 5.8895238134
54 2 48.2826932809 70.4931514278 4.3444081108
55 3 48.2826932809 70.4931514278 7.4346395194
56 1 47.3553688363 72.1707099710 5.8895238134
57 2 51.1883099154 72.0993245045 4.3444081108
58 3 51.1883099154 72.0993245045 7.4346395194
59 1 50.2609854574 73.7768830400 5.8895238134
60 2 54.0939265365 73.7054975735 4.3444081108
61 3 54.0939265365 73.7054975735 7.4346395194
62 1 53.1666020785 75.3830561090 5.8895238134
63 2 56.9995431576 75.3116706425 4.3444081108
64 3 56.9995431576 75.3116706425 7.4346395194
65 1 56.0722187130 76.9892291857 5.8895238134
66 2 59.9051597876 76.9178437115 4.3444081108
67 3 59.9051597876 76.9178437115 7.4346395194
68 1 58.9778353341 78.5954022547 5.8895238134
69 2 62.8107764087 78.5240167805 4.3444081108
70 3 62.8107764087 78.5240167805 7.4346395194
71 2 30.7871719018 57.5366886645 4.3444081108
72 3 30.7871719018 57.5366886645 7.4346395194
73 2 33.6927885318 59.1428617335 4.3444081108
74 3 33.6927885318 59.1428617335 7.4346395194
75 1 32.7654640738 60.8204202689 5.8895238134
76 2 36.5984051529 60.7490348025 4.3444081108
77 3 36.5984051529 60.7490348025 7.4346395194
78 1 35.6710807083 62.4265933457 5.8895238134
79 2 39.5040217740 62.3552078715 4.3444081108
80 3 39.5040217740 62.3552078715 7.4346395194
81 1 38.5766973294 64.0327664147 5.8895238134
82 2 42.4096384041 63.9613809405 4.3444081108
83 3 42.4096384041 63.9613809405 7.4346395194
84 1 41.4823139505 65.6389394837 5.8895238134
85 2 45.3152550296 65.5675540172 4.3444081108
