Superlattice vectors (celldm1_l units):
-0.50000000000 18.18653340000 0.00000000000
-16.00000000000 8.66025400000 0.00000000000
Layer 1 points (Angstrom):
Se1 -53.12000000000 26.83524039083 4.34440811000
Se2 -53.12000000000 26.83524039083 7.43463952000
Se1 -54.78000000000 29.71044471883 4.34440811000
Se2 -54.78000000000 29.71044471883 7.43463952000
Se1 -48.14000000000 23.96003606283 4.34440811000
Se2 -48.14000000000 23.96003606283 7.43463952000
Se1 -49.80000000000 26.83524039083 4.34440811000
Se2 -49.80000000000 26.83524039083 7.43463952000
Mo -51.46000000000 25.87683895200 5.88952381500
Se1 -51.46000000000 29.71044471883 4.34440811000
Se2 -51.46000000000 29.71044471883 7.43463952000
Mo -53.12000000000 28.75204328000 5.88952381500
Se1 -53.12000000000 32.58564904683 4.34440811000
Se2 -53.12000000000 32.58564904683 7.43463952000
Mo -54.78000000000 31.62724760800 5.88952381500
Se1 -54.78000000000 35.46085337483 4.34440811000
Se2 -54.78000000000 35.46085337483 7.43463952000
Se1 -43.16000000000 21.08483173483 4.34440811000
Se2 -43.16000000000 21.08483173483 7.43463952000
Se1 -44.82000000000 23.96003606283 4.34440811000
Se2 -44.82000000000 23.96003606283 7.43463952000
Mo -46.48000000000 23.00163462400 5.88952381500
Se1 -46.48000000000 26.83524039083 4.34440811000
Se2 -46.48000000000 26.83524039083 7.43463952000
Mo -48.14000000000 25.87683895200 5.88952381500
Se1 -48.14000000000 29.71044471883 4.34440811000
Se2 -48.14000000000 29.71044471883 7.43463952000
Mo -49.80000000000 28.75204328000 5.88952381500
Se1 -49.80000000000 32.58564904683 4.34440811000
Se2 -49.80000000000 32.58564904683 7.43463952000
Mo -51.46000000000 31.62724760800 5.88952381500
Se1 -51.46000000000 35.46085337483 4.34440811000
Se2 -51.46000000000 35.46085337483 7.43463952000
Mo -53.12000000000 34.50245193600 5.88952381500
Se1 -53.12000000000 38.33605770283 4.34440811000
Se2 -53.12000000000 38.33605770283 7.43463952000
Mo -54.78000000000 37.37765626400 5.88952381500
Se1 -54.78000000000 41.21126203083 4.34440811000
Se2 -54.78000000000 41.21126203083 7.43463952000
Se1 -38.18000000000 18.20962740683 4.34440811000
Se2 -38.18000000000 18.20962740683 7.43463952000
Se1 -39.84000000000 21.08483173483 4.34440811000
Se2 -39.84000000000 21.08483173483 7.43463952000
Mo -41.50000000000 20.12643029600 5.88952381500
Se1 -41.50000000000 23.96003606283 4.34440811000
Se2 -41.50000000000 23.96003606283 7.43463952000
Mo -43.16000000000 23.00163462400 5.88952381500
Se1 -43.16000000000 26.83524039083 4.34440811000
Se2 -43.16000000000 26.83524039083 7.43463952000
Mo -44.82000000000 25.87683895200 5.88952381500
Se1 -44.82000000000 29.71044471883 4.34440811000
Se2 -44.82000000000 29.71044471883 7.43463952000
Mo -46.48000000000 28.75204328000 5.88952381500
Se1 -46.48000000000 32.58564904683 4.34440811000
Se2 -46.48000000000 32.58564904683 7.43463952000
Mo -48.14000000000 31.62724760800 5.88952381500
Se1 -48.14000000000 35.46085337483 4.34440811000
Se2 -48.14000000000 35.46085337483 7.43463952000
Mo -49.80000000000 34.50245193600 5.88952381500
Se1 -49.80000000000 38.33605770283 4.34440811000
Se2 -49.80000000000 38.33605770283 7.43463952000
Mo -51.46000000000 37.37765626400 5.88952381500
Se1 -51.46000000000 41.21126203083 4.34440811000
Se2 -51.46000000000 41.21126203083 7.43463952000
Mo -53.12000000000 40.25286059200 5.88952381500
Se1 -53.12000000000 44.08646635883 4.34440811000
Se2 -53.12000000000 44.08646635883 7.43463952000
Mo -54.78000000000 43.12806492000 5.88952381500
Se1 -54.78000000000 46.96167068683 4.34440811000
Se2 -54.78000000000 46.96167068683 7.43463952000
Mo -56.44000000000 46.00326924800 5.88952381500
Se1 -56.44000000000 49.83687501483 4.34440811000
Se2 -56.44000000000 49.83687501483 7.43463952000
Se1 -33.20000000000 15.33442307883 4.34440811000
Se2 -33.20000000000 15.33442307883 7.43463952000
Se1 -34.86000000000 18.20962740683 4.34440811000
Se2 -34.86000000000 18.20962740683 7.43463952000
Mo -36.52000000000 17.25122596800 5.88952381500
Se1 -36.52000000000 21.08483173483 4.34440811000
Se2 -36.52000000000 21.08483173483 7.43463952000
Mo -38.18000000000 20.12643029600 5.88952381500
Se1 -38.18000000000 23.96003606283 4.34440811000
Se2 -38.18000000000 23.96003606283 7.43463952000
Mo -39.84000000000 23.00163462400 5.88952381500
Se1 -39.84000000000 26.83524039083 4.34440811000
Se2 -39.84000000000 26.83524039083 7.43463952000
Mo -41.50000000000 25.87683895200 5.88952381500
Se1 -41.50000000000 29.71044471883 4.34440811000
Se2 -41.50000000000 29.71044471883 7.43463952000
Mo -43.16000000000 28.75204328000 5.88952381500
Se1 -43.16000000000 32.58564904683 4.34440811000
Se2 -43.16000000000 32.58564904683 7.43463952000
Mo -44.82000000000 31.62724760800 5.88952381500
Se1 -44.82000000000 35.46085337483 4.34440811000
Se2 -44.82000000000 35.46085337483 7.43463952000
Mo -46.48000000000 34.50245193600 5.88952381500
Se1 -46.48000000000 38.33605770283 4.34440811000
Se2 -46.48000000000 38.33605770283 7.43463952000
Mo -48.14000000000 37.37765626400 5.88952381500
Se1 -48.14000000000 41.21126203083 4.34440811000
Se2 -48.14000000000 41.21126203083 7.43463952000
Mo -49.80000000000 40.25286059200 5.88952381500
Se1 -49.80000000000 44.08646635883 4.34440811000
Se2 -49.80000000000 44.08646635883 7.43463952000
Mo -51.46000000000 43.12806492000 5.88952381500
Se1 -51.46000000000 46.96167068683 4.34440811000
Se2 -51.46000000000 46.96167068683 7.43463952000
Mo -53.12000000000 46.00326924800 5.88952381500
Se1 -53.12000000000 49.83687501483 4.34440811000
Se2 -53.12000000000 49.83687501483 7.43463952000
Mo -54.78000000000 48.87847357600 5.88952381500
Se1 -54.78000000000 52.71207934283 4.34440811000
Se2 -54.78000000000 52.71207934283 7.43463952000
Mo -56.44000000000 51.75367790400 5.88952381500
Se1 -56.44000000000 55.58728367083 4.34440811000
Se2 -56.44000000000 55.58728367083 7.43463952000
Se1 -28.22000000000 12.45921875083 4.34440811000
Se2 -28.22000000000 12.45921875083 7.43463952000
Se1 -29.88000000000 15.33442307883 4.34440811000
Se2 -29.88000000000 15.33442307883 7.43463952000
Mo -31.54000000000 14.37602164000 5.88952381500
Se1 -31.54000000000 18.20962740683 4.34440811000
Se2 -31.54000000000 18.20962740683 7.43463952000
Mo -33.20000000000 17.25122596800 5.88952381500
Se1 -33.20000000000 21.08483173483 4.34440811000
Se2 -33.20000000000 21.08483173483 7.43463952000
Mo -34.86000000000 20.12643029600 5.88952381500
Se1 -34.86000000000 23.96003606283 4.34440811000
Se2 -34.86000000000 23.96003606283 7.43463952000
Mo -36.52000000000 23.00163462400 5.88952381500
Se1 -36.52000000000 26.83524039083 4.34440811000
Se2 -36.52000000000 26.83524039083 7.43463952000
Mo -38.18000000000 25.87683895200 5.88952381500
Se1 -38.18000000000 29.71044471883 4.34440811000
